;Ticker;2015;2016;2017;2018;2019;2020
0;AGRO;229;252;252;254;252;250
1;PJPq;0;0;0;234;252;250
2;AQUA;151;231;228;223;251;250
3;DSKY;0;0;224;254;252;250
4;MGNT;250;252;252;254;252;250
5;LNTAq;250;252;252;254;252;250
6;MDMGDR;0;0;0;0;0;38
7;MVID;250;252;252;254;252;250
8;BELU;0;0;104;222;252;250
9;APTK;250;252;252;254;252;250
10;SVAV;250;252;252;254;252;250
11;ORUP;0;0;50;252;252;250
