;Ticker;2015;2016;2017;2018;2019;2020
0;AGRO;-0,112;-0,051;-0,047;-0,055;-0,032;-0,066
1;MGNT;-0,095;-0,073;-0,112;-0,102;-0,035;-0,136
2;LNTAq;-0,075;-0,055;-0,043;-0,077;-0,035;-0,134
3;MVID;-0,118;-0,077;-0,057;-0,055;-0,069;-0,064
4;APTK;-0,193;-0,104;-0,088;-0,065;-0,071;-0,109
5;SVAV;-0,064;-0,059;-0,056;-0,064;-0,047;-0,074
