<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
AGRO-гдр;D;20150105;000000;321;350;280;280;12;0
AGRO-гдр;D;20150106;000000;320;340;295;310;381;0
AGRO-гдр;D;20150108;000000;300;360;285;335;579;0
AGRO-гдр;D;20150109;000000;300;345;300;306;30;0
AGRO-гдр;D;20150112;000000;290.1;303;290.1;303;9;0
AGRO-гдр;D;20150113;000000;290.15;324.9;290.15;319.95;26;0
AGRO-гдр;D;20150114;000000;324.95;334.95;295;315;67;0
AGRO-гдр;D;20150115;000000;300.05;320;300.05;305;304;0
AGRO-гдр;D;20150116;000000;305.1;314.95;305.1;308;571;0
AGRO-гдр;D;20150120;000000;315;315;300.05;310;1032;0
AGRO-гдр;D;20150121;000000;295;320;295;320;5101;0
AGRO-гдр;D;20150122;000000;320;330;317.5;320;4484;0
AGRO-гдр;D;20150123;000000;324.95;324.95;324.95;324.95;1;0
AGRO-гдр;D;20150126;000000;320;320;312;320;14980;0
AGRO-гдр;D;20150127;000000;340;344.95;312;330;48;0
AGRO-гдр;D;20150128;000000;340;340;340;340;1;0
AGRO-гдр;D;20150130;000000;335;335;335;335;2;0
AGRO-гдр;D;20150205;000000;369;369;369;369;1;0
AGRO-гдр;D;20150206;000000;369;377;330;377;32219;0
AGRO-гдр;D;20150209;000000;379.95;379.95;360.25;379.9;17;0
AGRO-гдр;D;20150210;000000;370;380;370;380;129;0
AGRO-гдр;D;20150211;000000;380;389.95;380;380;83;0
AGRO-гдр;D;20150212;000000;389.9;394.95;389.9;389.95;43;0
AGRO-гдр;D;20150213;000000;389.95;395;389.95;395;121;0
AGRO-гдр;D;20150216;000000;404.45;410;376;405;622;0
AGRO-гдр;D;20150217;000000;405;405;405;405;1;0
AGRO-гдр;D;20150218;000000;390;390;376;385;2867;0
AGRO-гдр;D;20150219;000000;380.05;385;380;380;574;0
AGRO-гдр;D;20150220;000000;384.95;384.95;384.95;384.95;10;0
AGRO-гдр;D;20150225;000000;380.15;380.15;370;370;81;0
AGRO-гдр;D;20150226;000000;379.95;380;379.95;380;97;0
AGRO-гдр;D;20150302;000000;375;375;375;375;103;0
AGRO-гдр;D;20150303;000000;381;385.05;379.95;380;5608;0
AGRO-гдр;D;20150304;000000;380;380;380;380;19;0
AGRO-гдр;D;20150305;000000;370.05;370.05;370;370;10;0
AGRO-гдр;D;20150306;000000;379.9;379.95;379.9;379.95;93;0
AGRO-гдр;D;20150310;000000;389.9;389.9;365.1;379.5;1051;0
AGRO-гдр;D;20150311;000000;360.2;374.9;355.1;374.9;37;0
AGRO-гдр;D;20150312;000000;360;369.95;355.05;369.95;28;0
AGRO-гдр;D;20150313;000000;355.1;369.95;355.1;369.95;2;0
AGRO-гдр;D;20150316;000000;356.05;374.95;355.05;369.95;40;0
AGRO-гдр;D;20150317;000000;370;370;370;370;50;0
AGRO-гдр;D;20150318;000000;370;370;370;370;31;0
AGRO-гдр;D;20150320;000000;370;370;370;370;1;0
AGRO-гдр;D;20150325;000000;354.95;354.95;354.95;354.95;100;0
AGRO-гдр;D;20150326;000000;349.95;349.95;331.05;349.95;130;0
AGRO-гдр;D;20150330;000000;350.05;354.95;349.95;354.95;1100;0
AGRO-гдр;D;20150331;000000;350;350;349.95;349.95;122;0
AGRO-гдр;D;20150401;000000;359.95;359.95;350;350;577;0
AGRO-гдр;D;20150402;000000;340.15;354.9;340.15;354.9;11;0
AGRO-гдр;D;20150406;000000;338.05;379.95;338;379.95;101;0
AGRO-гдр;D;20150407;000000;365;365;348.9;349.85;2471;0
AGRO-гдр;D;20150409;000000;364.95;375;340;375;2671;0
AGRO-гдр;D;20150410;000000;370;384.95;360.05;377.15;355;0
AGRO-гдр;D;20150413;000000;360.1;384;360.1;380;152;0
AGRO-гдр;D;20150414;000000;371;384.95;371;384.95;164;0
AGRO-гдр;D;20150415;000000;365.05;405;365.05;405;1486;0
AGRO-гдр;D;20150416;000000;390;390;375;389.95;4026;0
AGRO-гдр;D;20150417;000000;374.95;380;360.4;380;1675;0
AGRO-гдр;D;20150420;000000;409.95;434.95;376;413;1637;0
AGRO-гдр;D;20150421;000000;425;444.95;399.4;444.95;3553;0
AGRO-гдр;D;20150422;000000;429.5;429.5;410.05;410.05;10;0
AGRO-гдр;D;20150423;000000;405;405;390;405;1078;0
AGRO-гдр;D;20150424;000000;430;434.9;419.95;419.95;123;0
AGRO-гдр;D;20150428;000000;430;444.95;425.05;429.75;204;0
AGRO-гдр;D;20150429;000000;441;444.95;400.35;424.95;814;0
AGRO-гдр;D;20150430;000000;444.4;454.95;381;454.95;1243;0
AGRO-гдр;D;20150505;000000;447;448;434;447;31;0
AGRO-гдр;D;20150506;000000;443;443;418;419;22;0
AGRO-гдр;D;20150507;000000;424;424;424;424;1;0
AGRO-гдр;D;20150508;000000;424;424;403;419;923;0
AGRO-гдр;D;20150512;000000;433;434;431;431;14;0
AGRO-гдр;D;20150513;000000;440;440;436;439;12;0
AGRO-гдр;D;20150514;000000;444;444;443;443;12;0
AGRO-гдр;D;20150515;000000;443;444;443;444;135;0
AGRO-гдр;D;20150518;000000;434;465;401;429;2218;0
AGRO-гдр;D;20150525;000000;401;444;401;434;1307;0
AGRO-гдр;D;20150526;000000;460;475;436;436;5260;0
AGRO-гдр;D;20150527;000000;443;454;443;444;687;0
AGRO-гдр;D;20150528;000000;444;454;444;454;132;0
AGRO-гдр;D;20150529;000000;449;449;448;448;35;0
AGRO-гдр;D;20150601;000000;459;463;459;463;17;0
AGRO-гдр;D;20150602;000000;460;475;460;473;160;0
AGRO-гдр;D;20150603;000000;475;475;460;460;166;0
AGRO-гдр;D;20150604;000000;479;479;470;470;54;0
AGRO-гдр;D;20150605;000000;474;474;474;474;5;0
AGRO-гдр;D;20150608;000000;470;474;470;474;24;0
AGRO-гдр;D;20150609;000000;468;479;468;471;88;0
AGRO-гдр;D;20150611;000000;464;483;463;466;42;0
AGRO-гдр;D;20150615;000000;455;474;455;474;883;0
AGRO-гдр;D;20150616;000000;425;494;420;480;1922;0
AGRO-гдр;D;20150617;000000;492;493;492;493;110;0
AGRO-гдр;D;20150618;000000;471;493;470;475;636;0
AGRO-гдр;D;20150622;000000;493;493;493;493;29;0
AGRO-гдр;D;20150623;000000;490;490;490;490;3;0
AGRO-гдр;D;20150625;000000;425;484;425;435;62;0
AGRO-гдр;D;20150626;000000;436;477;436;477;5;0
AGRO-гдр;D;20150629;000000;480;480;480;480;4;0
AGRO-гдр;D;20150630;000000;463;475;463;463;218;0
AGRO-гдр;D;20150701;000000;461;475;461;475;2;0
AGRO-гдр;D;20150702;000000;479;488;475;488;45;0
AGRO-гдр;D;20150703;000000;479;479;479;479;86;0
AGRO-гдр;D;20150706;000000;479;479;479;479;101;0
AGRO-гдр;D;20150707;000000;464;509;464;509;427;0
AGRO-гдр;D;20150708;000000;475;495;471;494;412;0
AGRO-гдр;D;20150709;000000;494;495;477;495;11;0
AGRO-гдр;D;20150710;000000;494;495;481;495;211;0
AGRO-гдр;D;20150713;000000;489;489;489;489;104;0
AGRO-гдр;D;20150714;000000;495;495;485;494;76;0
AGRO-гдр;D;20150715;000000;494;494;494;494;12;0
AGRO-гдр;D;20150716;000000;489;489;489;489;35;0
AGRO-гдр;D;20150717;000000;494;494;472;491;13988;0
AGRO-гдр;D;20150720;000000;495;495;490;490;2137;0
AGRO-гдр;D;20150721;000000;472;491;472;490;1224;0
AGRO-гдр;D;20150722;000000;474;491;474;490;4006;0
AGRO-гдр;D;20150723;000000;471;509;471;509;600;0
AGRO-гдр;D;20150724;000000;500;507;500;500;4064;0
AGRO-гдр;D;20150727;000000;509;509;500;500;119;0
AGRO-гдр;D;20150728;000000;518;524;515;515;1136;0
AGRO-гдр;D;20150729;000000;515;515;500;515;184;0
AGRO-гдр;D;20150730;000000;515;515;515;515;20;0
AGRO-гдр;D;20150731;000000;515;529;515;529;100;0
AGRO-гдр;D;20150803;000000;529;539;525;539;56;0
AGRO-гдр;D;20150804;000000;550;550;550;550;1;0
AGRO-гдр;D;20150805;000000;589;589;560;589;428;0
AGRO-гдр;D;20150806;000000;589;639;589;609;331;0
AGRO-гдр;D;20150807;000000;636;636;600;625;365;0
AGRO-гдр;D;20150810;000000;630;630;521;560;950;0
AGRO-гдр;D;20150811;000000;579;595;520;539;4156;0
AGRO-гдр;D;20150812;000000;548;548;515;515;1597;0
AGRO-гдр;D;20150813;000000;518;600;518;520;15300;0
AGRO-гдр;D;20150814;000000;522;565;520;524;7198;0
AGRO-гдр;D;20150817;000000;530;565;525;560;3466;0
AGRO-гдр;D;20150818;000000;531;565;531;565;3593;0
AGRO-гдр;D;20150819;000000;565;565;537;539;1068;0
AGRO-гдр;D;20150820;000000;544;564;515;531;1550;0
AGRO-гдр;D;20150821;000000;544;544;522;540;552;0
AGRO-гдр;D;20150824;000000;544;560;506;534;2706;0
AGRO-гдр;D;20150825;000000;537;585;537;550;12082;0
AGRO-гдр;D;20150826;000000;541;559;540;553;2351;0
AGRO-гдр;D;20150827;000000;554;554;531;539;3976;0
AGRO-гдр;D;20150828;000000;539;540;532;540;1616;0
AGRO-гдр;D;20150831;000000;530;580;530;554;13124;0
AGRO-гдр;D;20150901;000000;554;574;548;558;13117;0
AGRO-гдр;D;20150902;000000;555;559;546;557;788;0
AGRO-гдр;D;20150903;000000;555;563;548;550;1066;0
AGRO-гдр;D;20150904;000000;561;569;550;567;7297;0
AGRO-гдр;D;20150907;000000;565;585;565;584;5704;0
AGRO-гдр;D;20150908;000000;580;585;560;585;9281;0
AGRO-гдр;D;20150909;000000;590;598;575;577;22787;0
AGRO-гдр;D;20150910;000000;577;610;577;590;4461;0
AGRO-гдр;D;20150911;000000;593;599;570;584;963;0
AGRO-гдр;D;20150914;000000;595;614;578;589;1319;0
AGRO-гдр;D;20150915;000000;585;606;580;582;3492;0
AGRO-гдр;D;20150916;000000;593;594;570;570;2131;0
AGRO-гдр;D;20150917;000000;575;589;563;575;2159;0
AGRO-гдр;D;20150918;000000;590;590;565;570;2933;0
AGRO-гдр;D;20150921;000000;577;590;561;566;2650;0
AGRO-гдр;D;20150922;000000;577;579;562;569;633;0
AGRO-гдр;D;20150923;000000;563;575;553;565;1993;0
AGRO-гдр;D;20150924;000000;571;575;551;562;2938;0
AGRO-гдр;D;20150925;000000;565;566;553;560;957;0
AGRO-гдр;D;20150928;000000;556;560;546;555;1034;0
AGRO-гдр;D;20150929;000000;561;563;530;558;7829;0
AGRO-гдр;D;20150930;000000;559;559;540;553;2836;0
AGRO-гдр;D;20151001;000000;539;555;537;555;11995;0
AGRO-гдр;D;20151002;000000;544;558;543;556;719;0
AGRO-гдр;D;20151005;000000;546;558;545;558;1690;0
AGRO-гдр;D;20151006;000000;552;559;535;548;6003;0
AGRO-гдр;D;20151007;000000;535;549;523;535;8915;0
AGRO-гдр;D;20151008;000000;531;548;502;507;6640;0
AGRO-гдр;D;20151009;000000;506;515;504;515;10927;0
AGRO-гдр;D;20151012;000000;516;534;491;520;5953;0
AGRO-гдр;D;20151013;000000;515;533;515;532;2036;0
AGRO-гдр;D;20151014;000000;519;544;519;541;2259;0
AGRO-гдр;D;20151015;000000;539;548;530;538;2788;0
AGRO-гдр;D;20151016;000000;538;553;536;540;1612;0
AGRO-гдр;D;20151019;000000;548;589;545;569;9219;0
AGRO-гдр;D;20151020;000000;585;610;577;585;17293;0
AGRO-гдр;D;20151021;000000;575;605;575;588;4363;0
AGRO-гдр;D;20151022;000000;590;597;568;596;12101;0
AGRO-гдр;D;20151023;000000;595;603;585;600;17163;0
AGRO-гдр;D;20151026;000000;592;610;586;597;2633;0
AGRO-гдр;D;20151027;000000;602;647;600;620;9379;0
AGRO-гдр;D;20151028;000000;628;640;595;613;19362;0
AGRO-гдр;D;20151029;000000;614;629;585;600;4278;0
AGRO-гдр;D;20151030;000000;596;616;596;616;787;0
AGRO-гдр;D;20151102;000000;618;618;602;608;3370;0
AGRO-гдр;D;20151103;000000;602;617;595;610;10739;0
AGRO-гдр;D;20151105;000000;610;618;610;617;4344;0
AGRO-гдр;D;20151106;000000;618;840;595;746;28959;0
AGRO-гдр;D;20151109;000000;768;768;706;730;4186;0
AGRO-гдр;D;20151110;000000;730;757;716;733;2120;0
AGRO-гдр;D;20151111;000000;733;793;730;784;28864;0
AGRO-гдр;D;20151112;000000;775;833;770;826;13228;0
AGRO-гдр;D;20151113;000000;829;829;782;800;25288;0
AGRO-гдр;D;20151116;000000;800;819;780;795;6105;0
AGRO-гдр;D;20151117;000000;795;810;750;773;6175;0
AGRO-гдр;D;20151118;000000;781;786;751;786;3397;0
AGRO-гдр;D;20151119;000000;779;809;755;772;7940;0
AGRO-гдр;D;20151120;000000;772;814;765;790;2691;0
AGRO-гдр;D;20151123;000000;776;810;775;797;12572;0
AGRO-гдр;D;20151124;000000;797;798;780;781;6165;0
AGRO-гдр;D;20151125;000000;781;807;780;800;822;0
AGRO-гдр;D;20151126;000000;800;875;791;807;8707;0
AGRO-гдр;D;20151127;000000;810;825;791;825;1792;0
AGRO-гдр;D;20151130;000000;825;869;810;825;9621;0
AGRO-гдр;D;20151201;000000;826;846;820;835;1899;0
AGRO-гдр;D;20151202;000000;835;849;820;832;3143;0
AGRO-гдр;D;20151203;000000;822;848;822;848;873;0
AGRO-гдр;D;20151204;000000;849;850;821;845;734;0
AGRO-гдр;D;20151207;000000;845;865;830;848;1683;0
AGRO-гдр;D;20151208;000000;839;860;830;852;696;0
AGRO-гдр;D;20151209;000000;863;865;833;854;1633;0
AGRO-гдр;D;20151210;000000;851;863;828;853;4365;0
AGRO-гдр;D;20151211;000000;851;882;851;882;3297;0
AGRO-гдр;D;20151214;000000;874;909;826;909;9419;0
AGRO-гдр;D;20151215;000000;901;984;891;984;14004;0
AGRO-гдр;D;20151216;000000;985;1015;950;950;9361;0
AGRO-гдр;D;20151217;000000;969;1000;956;970;4131;0
AGRO-гдр;D;20151218;000000;974;999;941;948;27732;0
AGRO-гдр;D;20151221;000000;968;986;967;978;2338;0
AGRO-гдр;D;20151222;000000;989;989;962;962;4824;0
AGRO-гдр;D;20151223;000000;975;989;960;960;7346;0
AGRO-гдр;D;20151224;000000;966;977;950;965;3296;0
AGRO-гдр;D;20151225;000000;971;975;953;962;1742;0
AGRO-гдр;D;20151228;000000;967;999;956;990;7433;0
AGRO-гдр;D;20151229;000000;991;1005;975;995;1331;0
AGRO-гдр;D;20151230;000000;999;1015;972;995;8623;0
AGRO-гдр;D;20160104;000000;1013;1020;960;992;3121;0
AGRO-гдр;D;20160105;000000;997;1025;988;1008;5308;0
AGRO-гдр;D;20160106;000000;1011;1038;1005;1027;4491;0
AGRO-гдр;D;20160111;000000;1015;1044;1011;1030;5172;0
AGRO-гдр;D;20160112;000000;1038;1043;1019;1040;2288;0
AGRO-гдр;D;20160113;000000;1043;1086;1026;1040;18659;0
AGRO-гдр;D;20160114;000000;1040;1048;1020;1027;6428;0
AGRO-гдр;D;20160115;000000;1039;1060;990;1015;7139;0
AGRO-гдр;D;20160118;000000;1018;1069;980;1025;8228;0
AGRO-гдр;D;20160119;000000;1029;1046;1011;1037;3196;0
AGRO-гдр;D;20160120;000000;1047;1070;1020;1061;10829;0
AGRO-гдр;D;20160121;000000;1080;1151;1080;1119;7929;0
AGRO-гдр;D;20160122;000000;1132;1178;1058;1062;11929;0
AGRO-гдр;D;20160125;000000;1060;1095;1048;1093;8082;0
AGRO-гдр;D;20160126;000000;1099;1115;1071;1075;4409;0
AGRO-гдр;D;20160127;000000;1094;1100;1055;1073;4324;0
AGRO-гдр;D;20160128;000000;1079;1079;1032;1050;3659;0
AGRO-гдр;D;20160129;000000;1068;1068;1016;1020;4947;0
AGRO-гдр;D;20160201;000000;1042;1050;1031;1040;1306;0
AGRO-гдр;D;20160202;000000;1048;1095;1048;1095;9448;0
AGRO-гдр;D;20160203;000000;1098;1124;1087;1110;7167;0
AGRO-гдр;D;20160204;000000;1123;1129;1072;1096;4171;0
AGRO-гдр;D;20160205;000000;1099;1115;1080;1105;5214;0
AGRO-гдр;D;20160208;000000;1110;1115;1090;1110;2315;0
AGRO-гдр;D;20160209;000000;1091;1158;1091;1150;10020;0
AGRO-гдр;D;20160210;000000;1168;1184;1132;1165;5923;0
AGRO-гдр;D;20160211;000000;1165;1227;1145;1213;8189;0
AGRO-гдр;D;20160212;000000;1240;1240;1189;1230;11291;0
AGRO-гдр;D;20160215;000000;1206;1235;1186;1190;10882;0
AGRO-гдр;D;20160216;000000;1199;1249;1158;1231;21203;0
AGRO-гдр;D;20160217;000000;1225;1275;1217;1243;20085;0
