<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.MOEXCN;D;20150403;000000;6383.4500000;6405.5800000;6364.4900000;6389.9100000;612710420
RI.MOEXCN;D;20150406;000000;6414.1100000;6475.4500000;6387.8800000;6464.2400000;792975039
RI.MOEXCN;D;20150407;000000;6466.1900000;6495.2500000;6388.9400000;6423.8800000;1920647997
RI.MOEXCN;D;20150408;000000;6423.4800000;6433.7400000;6343.7900000;6349.2500000;1066963780
RI.MOEXCN;D;20150409;000000;6340.7500000;6373.7800000;6253.8600000;6294.8000000;2405699642
RI.MOEXCN;D;20150410;000000;6301.2500000;6334.0900000;6207.7100000;6254.5200000;1145121037
RI.MOEXCN;D;20150413;000000;6252.5500000;6427.7600000;6234.5900000;6395.0900000;2264769223
RI.MOEXCN;D;20150414;000000;6393.4100000;6446.1900000;6361.1500000;6391.7800000;1469710224
RI.MOEXCN;D;20150415;000000;6395.9800000;6466.2700000;6333.4500000;6434.2400000;1627374654
RI.MOEXCN;D;20150416;000000;6400.2400000;6418.2300000;6256.4300000;6357.1400000;1413188528
RI.MOEXCN;D;20150417;000000;6360.4800000;6430.2000000;6310.2600000;6359.6900000;1339760003
RI.MOEXCN;D;20150420;000000;6380.5600000;6538.3800000;6348.5900000;6472.0000000;1345201122
RI.MOEXCN;D;20150421;000000;6478.3400000;6675.6600000;6447.3000000;6633.7700000;2280576263
RI.MOEXCN;D;20150422;000000;6628.2900000;6661.6600000;6501.4500000;6533.7700000;2398883985
RI.MOEXCN;D;20150423;000000;6532.9000000;6540.0500000;6355.8500000;6460.0500000;1824530026
RI.MOEXCN;D;20150424;000000;6460.3100000;6489.0700000;6430.5400000;6448.8600000;1024223152
RI.MOEXCN;D;20150427;000000;6451.9500000;6525.5600000;6393.2300000;6429.9600000;1237263091
RI.MOEXCN;D;20150428;000000;6429.3600000;6449.1800000;6368.1600000;6372.9300000;1152700213
RI.MOEXCN;D;20150429;000000;6384.5400000;6420.8100000;6326.1200000;6334.4200000;933394466
