;Ticker;2015;2016;2017;2018;2019;2020
0;AGRO;0,209;0,055;0,051;0,058;0,043;0,104
1;MGNT;0,082;0,078;0,059;0,079;0,047;0,07
2;LNTAq;0,1;0,042;0,051;0,081;0,043;0,088
3;MVID;0,095;0,077;0,111;0,054;0,065;0,122
4;APTK;0,556;0,189;0,129;0,124;0,455;0,162
5;SVAV;0,167;0,124;0,077;0,049;0,04;0,092
