year;X;Y
2000;9,2;4,762675515
2001;8,5;1,042201835
2002;8,3;8,643858502
2003;8,5;23,07949455
2004;8,9;14,97093813
2005;8,9;3,694779116
2006;8,8;5,645418508
2007;8;14,59932718
2008;7,5;9,736178541
2009;9,1;-7,709719459
2010;9,3;-1,806020067
2011;9,2;8,310626703
2012;9,8;-6,222921034
2013;10,3;4,735645888
2014;10,3;1,46567058
2015;10,4;-14,51511114
2016;10;1,357558855
2017;9,4;4,762675515
2018;9;7,75202781
2019;8,4;-2,136430441
2020;8;-3,959561921
2021;7,9;11,95652174
