The International Stock Exchange (TISE); XS0795156719; 11.11.2016); 27.08.2021); Итальянская ФБ - EuroTLX; XS1822383094; SCFL0623; GAZP0837;;;;The International Stock Exchange (TISE)
Швейцарская ФБ; XS0863439161; 19.08.2016); 21.09.2015); ALFA0430; XS1589106910; PLZL0223; XS0191754729;;;;Швейцарская ФБ
Берлинская биржа; XS0833264335; Франкфуртская ФБ; 13.11.2020); CHMF0924; XS0304274599; XS1603335610; XS0559915961;;;;Берлинская биржа
Сингапурская ФБ; XS0886632685; Берлинская биржа; 05.11.2015); GAZP0326; GAZP0325; EVRZ0323; ALFA0421;;;;Сингапурская ФБ
РТС; XS0885873322; 18.05.2016); 15.11.2022); STLF0623; XS1964558339; GAZP0327; XS0935311240;;;;РТС
; XS0906946008 (Третий уровень;; 10.09.2021);;;;;;;;
; XS0918297382;; 15.10.2021);;;;;;;;
; XS0919581982;; 26.02.2021);;;;;;;;
; XS0808638612;; 25.06.2020);;;;;;;;
; XS0935311240;; 09.10.2020);;;;;;;;
; XS0955560197;; 20.11.2020);;;;;;;;
; XS0982861287;; 13.07.2021);;;;;;;;
; XS0987109658;; 28.09.2021);;;;;;;;
; XS1032750165;; 23.09.2021);;;;;;;;
; XS1082459568;; 25.04.2018);;;;;;;;
; XS1084024584 (Третий уровень;; 24.11.2021);;;;;;;;
; XS1298447019;; 24.12.2021);;;;;;;;
; XS1514045886;; XS0995845566;;;;;;;;
; XS1521039054 (Третий уровень;; 11.04.2017);;;;;;;;
; XS1589324075;; 11.01.2018);;;;;;;;
; XS1675776014;; 05.02.2018);;;;;;;;
; XS1731601867;; 09.07.2021);;;;;;;;
; XS1822383094;; 30.05.2018);;;;;;;;
; XS1911645049 (Третий уровень;; 28.11.2018);;;;;;;;
; XS2157526315;; 11.07.2019);;;;;;;;
; XS2196334671;; 03.12.2021);;;;;;;;
; XS2244322322;; 19.11.2019);;;;;;;;
; 03.09.2021);; 18.02.2020);;;;;;;;
; XS2363250833;; 08.12.2021);;;;;;;;
; XS0885736925;; XS1506500039;;;;;;;;
; XS0954912514;; 17.03.2017);;;;;;;;
; XS1433454243;; RZD131;;;;;;;;
; XS0618905219;; 12.09.2019);;;;;;;;
; XS0993162170;; 26.02.2020);;;;;;;;
; 09.04.2021);; 21.02.2018);;;;;;;;
; XS0292530309;; 24.03.2020);;;;;;;;
; XS0552679879;; 17.07.2020);;;;;;;;
; XS0632887997;; 13.10.2020);;;;;;;;
; XS0885733153 (Третий уровень;; 31.08.2021);;;;;;;;
; XS0808632847;; 16.12.2021);;;;;;;;
; XS1533922933;; 17.12.2021);;;;;;;;
