;Ticker;2016;2017;2018;2019;2020;2021
0;BSPB;0,072;0,06;0,087;0,052;0,056;0,06
1;CBOM;0,035;0,029;0,03;0,061;0,091;0,042
2;QIWIDR;0,094;0,094;0,103;0,242;0,11;0,1
3;SBER;0,064;0,063;0,08;0,03;0,129;0,057
4;SBER_p;0,055;0,071;0,076;0,028;0,084;0,053
5;SFIN;0,03;0,128;0,139;0,116;0,12;0,049
6;VTBR;0,09;0,08;0,058;0,101;0,086;0,072
7;MOEX;0,052;0,039;0,05;0,043;0,092;0,042
