;Ticker;2016;2017;2018;2019;2020;2021
0;BSPB;252;252;255;252;250;255
1;CBOM;252;252;255;252;250;255
2;QIWIDR;252;252;254;252;250;255
3;SBER;252;252;254;252;250;255
4;SBER_p;252;252;254;252;250;255
5;SFIN;243;252;254;252;250;255
6;VTBR;252;252;254;252;250;255
7;MOEX;252;252;254;252;250;255
