;Tiker;Fishre's criterion
0;BSPB;3.178346397793912
1;CBOM;2.678001624966286
2;QIWIDR;1.3497189616514969
3;SBER;2.5014456919440096
4;SBER_p;6.717130340083961
5;SFIN;1.9100465069461328
6;VTBR;1.4646741559184644
7;MOEX;1.3747144093076238
